Sale Date,ISBN,Discount,ItemID,OrderID
7/1/2193,989-28-79-68089-3,0.15,107200-1-6303,107178-18776
7/1/2193,989-28-3705-987-7,,107200-74-9148,107200-18626
7/1/2193,989-28-3705-987-7,,107200-7-214,107200-18627
7/1/2193,989-28-3705-966-2,,107200-53-5192,107200-18628
7/1/2193,989-28-3705-987-7,,107200-21-2003,107200-18629
7/1/2193,989-28-3705-592-3,,107200-35-3338,107200-18630
7/1/2193,989-28-3705-007-2,,107200-30-2724,107200-18631
7/1/2193,989-28-3705-007-2,,107200-57-8162,107200-18632
7/1/2193,989-28-3705-152-9,,107200-63-5665,107200-18633
7/1/2193,989-28-3705-987-7,,107200-17-1702,107200-18634
7/1/2193,989-28-3705-007-2,,107200-11-6234,107200-18635
7/1/2193,989-28-3705-987-7,,107200-92-493,107200-18636
7/1/2193,989-28-3705-007-2,,107200-27-7622,107200-18637
7/1/2193,989-28-3705-987-7,,107200-31-2457,107200-18638
7/1/2193,989-28-3705-592-3,,107200-15-4713,107200-18639
7/1/2193,989-28-3705-592-3,,107200-39-2909,107200-18640
7/1/2193,989-28-3705-007-2,,107200-74-2274,107200-18641
7/1/2193,989-28-79-07610-8,,107200-50-9952,107200-18642
7/1/2193,989-28-79-32105-5,,107200-64-9118,107200-18643
7/1/2193,989-28-79-61125-5,,107200-80-2646,107200-18644
7/1/2193,989-28-79-22871-2,,107200-64-8835,107200-18645
7/1/2193,989-28-79-52883-6,,107200-8-9801,107200-18646
7/1/2193,989-28-79-82197-5,,107200-48-5996,107200-18647
7/1/2193,989-28-79-45675-7,,107200-91-6620,107200-18648
7/1/2193,989-28-79-16826-1,,107200-51-6624,107200-18649
7/1/2193,989-28-79-04510-4,,107200-22-8711,107200-18650
7/1/2193,989-28-79-27078-0,,107200-78-3382,107200-18651
7/1/2193,989-28-79-45675-7,,107200-26-9266,107200-18652
7/1/2193,989-28-79-11297-4,,107200-56-9844,107200-18653
7/1/2193,989-28-79-86624-2,,107200-22-8704,107200-18654
7/1/2193,989-28-79-21991-8,,107200-88-2557,107200-18655
7/1/2193,989-28-79-11297-4,,107200-74-1807,107200-18656
7/1/2193,989-28-79-11297-4,,107200-10-8065,107200-18657
7/1/2193,989-28-79-30536-9,,107200-60-1063,107200-18658
7/1/2193,989-28-79-32105-5,,107200-4-9334,107200-18659
7/1/2193,989-28-654-5018-9,,107200-75-5445,107200-18660
7/1/2193,989-28-79-82125-8,,107200-87-9588,107200-18661
7/1/2193,989-28-79-13871-4,,107200-63-6401,107200-18662
7/1/2193,989-28-79-69807-2,,107200-1-577,107200-18663
7/1/2193,989-28-79-69807-2,,107200-50-8204,107200-18664
7/1/2193,989-28-79-69807-2,,107200-8-9654,107200-18665
7/1/2193,989-28-79-69807-2,,107200-83-5117,107200-18666
7/1/2193,989-28-79-82749-6,,107200-77-6543,107200-18667
7/1/2193,989-28-79-82749-6,,107200-25-1369,107200-18668
7/1/2193,989-28-79-69807-2,,107200-83-5116,107200-18669
7/1/2193,989-28-79-82749-6,,107200-1-5357,107200-18670
7/1/2193,989-28-79-13871-4,,107200-98-3288,107200-18671
7/1/2193,989-28-79-69807-2,,107200-8-9653,107200-18672
7/1/2193,989-28-79-82125-8,,107200-30-8324,107200-18673
7/1/2193,989-28-79-13871-4,,107200-86-8786,107200-18674
7/1/2193,989-28-79-05670-4,,107200-46-5554,107200-18675
7/1/2193,989-28-79-82749-6,,107200-20-7584,107200-18676
7/1/2193,989-28-79-69807-2,,107200-69-8274,107200-18677
7/1/2193,989-28-79-69807-2,,107200-1-576,107200-18678
7/1/2193,989-28-79-05670-4,,107200-6-4649,107200-18679
7/1/2193,989-28-79-05670-4,,107200-97-2302,107200-18680
7/1/2193,989-28-79-05670-4,,107200-25-6994,107200-18681
7/1/2193,989-28-79-13871-4,,107200-86-8785,107200-18682
7/1/2193,989-28-79-69807-2,,107200-77-7984,107200-18683
7/1/2193,989-28-79-13871-4,,107200-98-3287,107200-18684
7/1/2193,989-28-79-82749-6,,107200-77-6542,107200-18685
7/1/2193,989-28-79-69807-2,,107200-41-1338,107200-18686
7/1/2193,989-28-79-82749-6,,107200-25-1368,107200-18687
7/1/2193,989-28-79-13871-4,,107200-18-6529,107200-18688
7/1/2193,989-28-79-05670-4,,107200-1-8654,107200-18689
7/1/2193,989-28-79-69807-2,,107200-35-6893,107200-18690
7/1/2193,989-28-79-82749-6,,107200-38-5930,107200-18691
7/1/2193,989-28-79-05670-4,,107200-61-2125,107200-18692
7/1/2193,989-28-79-82125-8,,107200-30-8323,107200-18693
7/1/2193,989-28-79-82749-6,,107200-38-5929,107200-18694
7/1/2193,989-28-79-69807-2,,107200-92-960,107200-18695
7/1/2193,989-28-79-69807-2,,107200-50-8203,107200-18696
7/1/2193,989-28-79-69807-2,,107200-69-8273,107200-18697
7/1/2193,989-28-79-69807-2,,107200-77-7983,107200-18698
7/1/2193,989-28-79-82749-6,,107200-1-5356,107200-18699
7/1/2193,989-28-654-6507-7,,107200-82-3718,107200-18700
7/1/2193,989-28-654-6507-7,,107200-51-7087,107200-18701
7/1/2193,989-28-229-1404-4,,107200-62-7899,107200-18702
7/1/2193,989-28-229-9769-6,,107200-76-9493,107200-18703
7/1/2193,989-28-229-9769-6,,107200-53-8567,107200-18704
7/1/2193,989-28-229-7592-2,,107200-79-15,107200-18705
7/1/2193,989-28-229-6632-6,,107200-52-5273,107200-18706
7/1/2193,989-28-229-9769-6,,107200-68-4265,107200-18707
7/1/2193,989-28-229-1404-4,,107200-82-4339,107200-18708
7/1/2193,989-28-229-1404-4,,107200-70-8894,107200-18709
7/1/2193,989-28-229-1404-4,,107200-67-7829,107200-18710
7/1/2193,989-28-229-1404-4,,107200-89-9359,107200-18711
7/1/2193,989-28-229-0197-6,,107200-45-923,107200-18712
7/1/2193,989-28-229-7592-2,,107200-74-327,107200-18713
7/1/2193,989-28-229-9769-6,,107200-33-3401,107200-18714
7/1/2193,989-28-229-5891-8,0.1,107200-35-6098,107200-18715
7/1/2193,989-28-229-0197-6,,107200-97-6169,107200-18716
7/1/2193,989-28-229-1404-4,,107200-92-6294,107200-18717
7/1/2193,989-28-229-6632-6,,107200-97-5338,107200-18718
7/1/2193,989-28-229-1404-4,,107200-89-939,107200-18719
7/1/2193,989-28-229-7592-2,,107200-56-9165,107200-18720
7/1/2193,989-28-229-3157-7,,107200-10-6237,107200-18721
7/1/2193,989-28-229-7592-2,,107200-36-4119,107200-18722
7/1/2193,989-28-229-9769-6,,107200-1-6372,107200-18723
7/1/2193,989-28-229-5891-8,0.1,107200-49-3386,107200-18724
7/1/2193,989-28-229-9769-6,,107200-96-5174,107200-18725
7/1/2193,989-28-229-7592-2,,107200-1-4499,107200-18726
7/1/2193,989-28-229-1404-4,,107200-76-6060,107200-18727
7/1/2193,989-28-229-5891-8,0.1,107200-54-7745,107200-18728
7/1/2193,989-28-229-5891-8,0.1,107200-36-6992,107200-18729
7/1/2193,989-28-229-7592-2,,107200-17-5574,107200-18730
7/1/2193,989-28-229-7592-2,,107200-74-4022,107200-18731
7/1/2193,989-28-229-6632-6,,107200-83-3322,107200-18732
7/1/2193,989-28-229-1404-4,,107200-95-142,107200-18733
7/1/2193,989-28-79-91028-0,,107200-24-375,107200-18734
7/1/2193,989-28-79-13801-1,,107200-33-1871,107200-18735
7/1/2193,989-28-79-13801-1,,107200-89-1631,107200-18736
7/1/2193,989-28-79-23023-4,,107200-95-367,107200-18737
7/1/2193,989-28-79-26824-4,,107200-26-5237,107200-18738
7/1/2193,989-28-79-13801-1,,107200-47-8581,107200-18739
7/1/2193,989-28-79-74374-1,,107200-24-3859,107200-18740
7/1/2193,989-28-79-13801-1,,107200-46-154,107200-18741
7/1/2193,989-28-79-13801-1,,107200-21-5900,107200-18742
7/1/2193,989-28-79-13801-1,,107200-35-5120,107200-18743
7/1/2193,989-28-79-16808-7,,107200-7-252,107200-18744
7/1/2193,989-28-79-40897-8,,107200-1-2970,107200-18745
7/1/2193,989-28-79-51397-9,,107200-92-8203,107200-18746
7/1/2193,989-28-79-74374-1,,107200-7-9582,107200-18747
7/1/2193,989-28-79-26824-4,,107200-86-1333,107200-18748
7/1/2193,989-28-79-23023-4,,107200-53-9034,107200-18749
7/1/2193,989-28-79-71565-6,,107200-66-2455,107200-18750
7/1/2193,989-28-79-74374-1,,107200-54-4610,107200-18751
